              ACCEPT PB|Control-G?|            TEMPERATURE|                DENSITY|ACTUAL#MARKOV|                 BEST y|                 CURR y|                 BEST x|                 CURR x|                BEST x2|                CURR x2|                BEST x3|                CURR x3|
                    0.0|       0.0|               1.0E-323|   9.993524695819378E-4|           30|     0.5092857312191703|     0.5102639935233912|    -0.9027074317597588|     -0.775379552868857|    -0.6984434454067527|    -0.8641261558542774|    -0.9144995381107897|    -0.6265904071767248|
                    0.0|       1.0|               2.0E-323|   9.632162222494856E-4|           30|     0.5093785028069864|     0.5098428555662855|    -0.5223974509335487|    -0.5210151109227932|    -0.6268036392749856|    -0.8496304199781617|     -1.061101940875196|    -1.0837855622184773|
                    0.0|       0.0|          7.320633E-317|   9.760757876344783E-4|           30|     0.5094408983283742|     0.5103200247964674|    -0.8223786152002632|    -0.5888269163280719|    -0.9222843427644278|    -0.8719331756239395|     -0.658028982770092|    -0.9174856622021277|
                    0.0|       0.0|               1.0E-323|   9.651539071060533E-4|           30|     0.5092902272725497|     0.5099052594442322|     -0.678130053562134|    -0.6531056285380146|     -0.900824907328938|     -0.785218355308007|    -0.8409654591920463|    -0.8928962233595872|
                    0.0|       0.0|               1.0E-323|   9.848789665951596E-4|           30|     0.5093097408167335|     0.5102579999998054|    -0.7090690288474397|     -0.654112829699629|    -1.0341956231943705|    -0.9524458971117089|    -1.0006111815410044|    -0.9995487074422877|
                    0.0|       1.0|               1.0E-323|   9.829489367272348E-4|           30|     0.5092994068785193|      0.510271031373817|    -0.5945852109000815|    -0.6889813743118687|    -0.6304544890616446|    -0.6391309909959524|    -0.5759500663653154|    -0.8897857391778756|
                    0.0|       0.0|               1.5E-323|   8.361397672873583E-4|           30|     0.5094363117448224|     0.5096119179825886|    -0.7058234441138622|    -0.7871662505852419|    -0.9070326964210162|    -1.0129742584378296|    -0.8880538043348989|    -0.8365220135002573|
                    0.0|       0.0|               1.0E-323|     9.7249786100706E-4|           30|     0.5092904013052892|      0.510148649806363|    -0.5105445767631571|    -0.7728909205377212|    -0.6180066247423053|      -0.64225712674604|    -0.6725478886748513|    -0.7661225620678151|
                    0.0|       0.0|               1.5E-323|    9.75836117828921E-4|           30|      0.509307326916983|      0.509861959740006|    -0.9130602362452329|    -0.9344338207114222|     -0.807275504653046|    -0.6076280775570753|    -0.6526809719467035|    -0.6786005138515321|
                    0.0|       0.0|               1.0E-323|   9.832888570269205E-4|           30|     0.5092623080475325|     0.5094148935600458|     -1.003892168980974|    -0.6558721015554914|    -1.0730737390406382|    -1.0182161061935524|    -0.6995586331494867|    -0.9144847271965946|
                    0.0|       0.0|               1.0E-323|   9.625855825701191E-4|           30|     0.5092393873445489|       0.50939738570195|     -0.702490518047312|    -0.8931202713621693|    -0.4895068641619027|    -0.7773772597227631|    -0.9404816850004438|     -0.893945670102398|
